회사명,종목코드,상장일,총자산(요약재무),부채(요약재무),자본금(요약재무),매출액(영업수익),영업이익,당기순이익(포괄손익계산서),영업활동으로인한현금흐름,부채비율(표준재무),ROA(표준재무),ROE(표준재무),EBITDA마진율(표준재무),자기자본비율(표준재무),공모가 (원),공모금액 (천원),Unnamed: 17,총차입금/EBITDA(표준재무),총자산증가율(표준재무),유동자산증가율(표준재무),당좌자산증가율(표준재무),자기자본증가율(표준재무),매출액(영업수익)증가율(표준재무),영업이익증가율(보고서기재)(표준재무),EBITDA증가율(표준재무),순이익증가율(표준재무),순이익률(표준재무),유동비율(표준재무),현금비율(표준재무),유동부채비율(표준재무),이자보상배율(표준재무),재고자산회전율(표준재무),총자산회전율(표준재무),상장유형,증권구분,업종,상장주선인/,최초상장주식수 (주),상장일 시초가,상장일 종가
우진아이엔에스,10400,2018-09-14,97685198.0,20681199.0,3111000.0,140446264.0,22906854.0,16845828.0,-1243943.0,26.86,19.07,24.62,16.7,78.83,15000,31500000,,0.0,23.64,25.17,24.12,28.69,27.57,68.87,66.46,63.00,11.99,345.91,113.6,25.19,1900.04,32.27,1.59,신규상장,주권,건물설비 설치 공사업,신영증권(주),7622000,15150.0,19650.0
명성티엔에스,257370,2018-09-13,45082139.0,31129271.0,2500000.0,64575368.0,7280465.0,5857452.0,8462966.0,223.1,16.6,59.7,11.57,30.95,20000,38400000,,2.28,76.81,17.45,29.4,146.09,148.3,24.67,24.13,34.36,9.07,131.46,2.45,125.63,19.08,45.14,1.83,신규상장,주권,특수 목적용 기계 제조업,KB증권(주),6370000,22000.0,28600.0
액트로,290740,2018-08-28,46119000.0,18113057.0,1882027.0,50658817.0,14060780.0,5653592.0,5108553.0,64.68,15.77,32.14,28.08,60.73,20000,24000000,,0.35,80.32,130.93,129.27,290.52,227.7,294.38,289.48,153.83,11.16,212.52,49.61,54.52,11.67,37.29,1.41,신규상장,주권,특수 목적용 기계 제조업,키움증권(주),5000054,10508.0,9138.0
에이피티씨,89970,2018-08-23,29614895.0,5670644.0,2139460.0,41122169.0,12690445.0,10849950.0,6199978.0,23.68,42.88,60.77,31.52,80.85,9000,16560000,,0.0,41.08,86.49,263.65,103.58,8.64,35.15,35.32,-21.87,26.38,430.62,135.87,22.45,869.57,3.45,1.63,신규상장,주권,특수 목적용 기계 제조업,대신증권(주),23234595,9310.0,7980.0
바이오솔루션,86820,2018-08-20,7377803.0,2960684.0,3062722.0,5010775.0,-1814728.0,-1806233.0,-78529.0,67.03,-22.3,-34.28,-24.02,59.87,29000,43500000,,0.0,-16.36,-19.57,-23.2,-27.85,56.4,-41.99,-54.28,적축,-36.05,281.6,148.9,34.54,,8.6,0.62,신규상장,주권,기초 의약물질 제조업,한국투자증권(주),7659926,28200.0,28500.0
디아이티,110990,2018-08-07,213273179.0,90659740.0,1514250.0,85994057.0,13017024.0,11908812.0,21250203.0,73.94,6.53,10.21,16.13,57.49,10000,37575000,,0.0,40.77,64.62,46.28,10.76,21.12,38.31,34.93,30.32,13.85,193.81,104.93,73.42,67098.06,1.82,0.47,신규상장,주권,특수 목적용 기계 제조업,삼성증권(주),18900000,10550.0,10650.0
에스에스알,275630,2018-08-06,15264706.0,6138952.0,699994.0,11325540.0,2633641.0,2515176.0,1222335.0,67.27,11.83,25.97,27.98,59.78,9000,12780000,,0.94,46.45,94.25,94.25,254.72,37.26,26.81,23.9,2933.70,22.21,250.83,63.0,49.08,12.55,,0.88,신규상장,주권,소프트웨어 개발 및 공급업,하나증권주식회사,5662567,18000.0,23400.0
휴네시온,290270,2018-08-02,11383080.0,1800161.0,1785795.0,13192597.0,3426345.0,2994515.0,2064436.0,18.79,33.93,45.39,27.24,84.19,10000,13905300,,0.0,81.67,101.21,117.25,165.27,27.77,94.35,87.74,86.31,22.7,592.35,366.37,18.79,1130.06,30.57,1.5,신규상장,주권,소프트웨어 개발 및 공급업,엔에이치투자증권(주),4803836,7500.0,8175.0
티웨이항공,91810,2018-08-01,225771172.0,189256931.0,16908310.0,584032230.0,47098461.0,39707708.0,116022872.0,518.31,25.5,236.58,10.4,16.17,12000,192000000,,0.0,130.49,250.83,266.1,-2346.46,52.59,267.33,164.65,1898.52,6.8,94.27,65.17,454.43,162.03,113.95,3.61,신규상장,주권,항공 여객 운송업,"신한투자증권 주식회사,대신증권(주)",46974812,11600.0,11550.0
롯데정보통신,286940,2018-07-27,462890793.0,241198060.0,50000000.0,123230957.0,4410586.0,1443580.0,-17920244.0,108.8,0.0,0.0,5.71,47.89,29800,127722800,,8.52,,,,,,,,,1.17,94.43,30.27,105.09,16.52,19.07,0.53,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",미래에셋증권 주식회사,14286000,30550.0,29000.0
한국유니온제약,80720,2018-07-26,60016489.0,36746671.0,2100000.0,50846099.0,7857841.0,3090999.0,6143026.0,157.92,5.37,14.2,19.28,38.77,18000,27000000,,2.01,8.76,1.52,4.69,14.86,7.11,24.07,22.56,-30.06,6.08,125.11,2.15,140.37,9.91,5.79,0.88,신규상장,주권,의약품 제조업,DB증권주식회사,5745000,21249.0,18016.0
엠코르셋,204020,2018-07-23,62493776.0,8038246.0,4411814.0,124299600.0,9616462.0,7757477.0,-1545974.0,14.76,13.12,15.19,8.19,87.14,11500,28962750,,0.0,12.14,11.26,-10.33,14.25,18.41,65.64,58.85,59.70,6.24,631.73,200.19,14.76,,5.62,2.1,신규상장,주권,봉제의복 제조업,대신증권(주),10073715,5525.0,6475.0
올릭스,226950,2018-07-18,21640292.0,2963844.0,2602772.0,243966.0,-5410019.0,-5163925.0,-4787061.0,15.87,-28.07,-33.07,-2066.04,86.3,36000,43200000,,-0.28,42.85,60.39,53.15,48.73,-37.75,41.56,36.78,적확,-2116.66,1566.02,1446.74,5.53,-127.32,0.67,0.01,신규상장,주권,자연과학 및 공학 연구개발업,엔에이치투자증권(주),6433321,36033.0,32830.0
아이큐어,175250,2018-07-12,57797944.0,38573579.0,2454067.0,35674467.0,142627.0,239555.0,1446784.0,200.65,0.51,1.25,2.09,33.26,65000,78000000,,29.11,61.98,53.42,52.17,1.28,29.87,-112.26,-225.74,흑전,0.67,174.59,64.35,76.61,0.66,13.07,0.76,신규상장,주권,의약품 제조업,키움증권(주),6123518,58500.0,60600.0
SV인베스트먼트,289080,2018-07-06,28926098.0,10000880.0,11300000.0,9968134.0,3036187.0,2508794.0,2828738.0,52.84,14.61,,,65.43,7000,27300000,,,,,,,,,,,,,,,,,0.72,신규상장,주권,기타 금융업,미래에셋증권 주식회사,26617000,4500.0,3835.0
EDGC,245620,2018-06-26,13956346.0,2986443.0,2854509.0,3234303.0,-5168491.0,-6075922.0,-3820545.0,27.22,-55.98,-102.52,-149.51,78.6,6500,46800000,,-0.23,64.41,91.55,91.91,753.21,132.18,59.26,62.06,적확,-187.86,338.57,271.69,27.22,-5.32,8.31,0.29,신규상장,주권,자연과학 및 공학 연구개발업,SK증권(주),35898940,,
파워넷,37030,2018-06-07,52422224.0,21028998.0,10117117.0,122604473.0,7243982.0,7044575.0,2665573.0,66.99,14.02,25.23,6.62,59.89,6500,23209862,,0.49,9.04,6.46,11.99,28.35,-10.98,6.76,4.71,15.22,5.75,197.4,59.65,63.04,56.18,11.84,2.44,신규상장,주권,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",DB증권주식회사,12009614,10100.0,7750.0
현대사료,16790,2018-06-01,84838310.0,36099954.0,2289260.0,87143008.0,4134208.0,5604218.0,8329952.0,74.07,6.69,12.02,5.34,57.45,6600,10072788,,5.31,2.43,4.84,9.65,9.51,-18.2,-20.68,-18.88,59.53,6.43,190.43,53.4,69.67,8.3,8.63,1.04,신규상장,주권,기타 식품 제조업,신한투자증권 주식회사,6150486,13200.0,17150.0
세종메디칼,258830,2018-05-29,25368156.0,2741580.0,2748420.0,14498616.0,6309977.0,4141448.0,5581140.0,12.12,17.05,20.15,48.7,89.19,15000,30450000,,0.01,9.28,0.59,-3.05,22.4,13.51,60.99,53.3,29.74,28.56,418.68,305.59,11.18,216.33,9.06,0.6,신규상장,주권,의료용 기기 제조업,한국투자증권(주),6777741,4620.0,6000.0
제노레이,122310,2018-05-28,37402451.0,12975372.0,1777612.0,41331005.0,5906656.0,4970882.0,4353317.0,53.12,14.15,25.24,18.87,65.31,23000,13844666,,1.05,13.75,16.54,5.45,63.27,16.53,51.96,43.61,71.10,12.03,237.45,44.93,41.49,12.88,4.34,1.18,신규상장,주권,의료용 기기 제조업,한국투자증권(주),4028700,15524.0,12632.0
케어랩스,263700,2018-03-28,15858741.0,5455088.0,216770.0,18597106.0,2075191.0,1934501.0,2631992.0,52.43,20.01,31.75,11.71,65.6,20000,26000000,,0.16,356.55,86.12,86.12,483.67,62.52,57.55,64.07,51.55,10.4,105.68,60.31,52.43,126.15,,1.92,신규상장,주권,소프트웨어 개발 및 공급업,한국투자증권(주),5977430,20251.0,26326.0
애경산업,18250,2018-03-22,217134600.0,130315652.0,21322335.0,506779883.0,39974476.0,21546410.0,53493310.0,150.1,10.52,27.51,9.12,39.98,29100,197880000,,0.11,12.73,15.03,29.17,24.37,10.31,52.96,44.84,25.32,4.25,115.69,16.91,140.19,57.39,8.19,2.47,신규상장,주권,기타 화학제품 제조업,대신증권(주),26122335,28000.0,34000.0
린드먼아시아,277070,2018-03-14,16142082.0,1769483.0,5000000.0,6335100.0,3563067.0,2801684.0,181353.0,12.31,19.24,,,89.04,6500,22087377,,,24.3,,,25.97,,30.37,,35.28,,,,,,,0.43,신규상장,주권,신탁업 및 집합투자업,키움증권(주),13500000,13000.0,16900.0
동구바이오제약,6620,2018-02-13,65310815.0,43082978.0,3414083.0,87363407.0,10583453.0,10922787.0,12587563.0,193.82,17.32,87.62,14.58,34.03,16000,33105920,,1.7,7.4,29.51,52.44,722.01,8.7,30.53,27.74,169.26,12.5,78.23,12.62,185.08,4.34,8.17,1.39,신규상장,주권,의약품 제조업,엔에이치투자증권(주),9604000,10829.0,14078.0
알리코제약,260660,2018-02-12,46426012.0,30969057.0,1216665.0,48126650.0,4044657.0,2242617.0,6013677.0,200.36,5.23,16.49,10.49,33.29,12000,28200000,,3.32,18.0,39.31,27.07,31.59,46.23,225.52,119.94,238.48,4.66,86.49,18.16,170.38,6.19,7.67,1.12,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,IBK투자증권(주),8843825,11617.0,15083.0
카페24,42000,2018-02-08,42875178.0,35712680.0,3970307.0,101523130.0,-2518122.0,-2724421.0,1703662.0,498.61,-12.71,-76.07,2.28,16.71,57000,51300000,,5.26,,,,,,,,,-2.68,94.38,41.48,326.62,-7.26,1773.05,4.74,신규상장,주권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","미래에셋증권 주식회사,유안타증권(주),한화투자증권(주)",8858157,42361.0,42462.0
배럴,267790,2018-02-01,13957756.0,5422654.0,2727273.0,24246628.0,4551734.0,3713118.0,336231.0,63.53,34.34,55.54,19.43,61.15,9500,16245000,,0.6,82.02,72.61,85.51,76.48,53.68,-12.38,-10.22,-5.80,15.31,580.24,262.79,23.83,30.47,6.34,2.24,신규상장,주권,봉제의복 제조업,하나증권주식회사,7215846,10400.0,13500.0
SG,255220,2018-01-26,75240487.0,55868635.0,1000000.0,42699570.0,9245044.0,7249526.0,-1802428.0,288.4,11.55,41.78,24.09,25.75,6000,18795180,,3.52,49.76,19.25,18.3,26.34,44.34,24.22,24.58,25.17,16.98,51.4,15.29,241.0,8.36,135.89,0.68,신규상장,주권,기타 비금속 광물제품 제조업,대신증권(주),12506024,5400.0,5260.0
씨앤지하이테크,264660,2018-01-25,25619567.0,10439589.0,1369570.0,44344825.0,6502183.0,5498276.0,9492532.0,68.77,26.16,44.15,15.65,59.25,16000,20608000,,0.12,56.02,73.68,67.43,56.05,-6.34,44.58,36.87,48.95,12.4,212.9,147.0,64.16,237.23,32.44,2.11,신규상장,주권,특수 목적용 기계 제조업,신한투자증권 주식회사,4202740,9230.0,9255.0
시스웍,269620,2017-12-26,20046077.0,6443849.0,400000.0,24177526.0,6072497.0,5347367.0,2104733.0,47.37,32.49,48.23,25.83,67.85,2800,12511920,,0.43,55.78,104.5,71.98,58.65,54.96,123.94,117.38,125.23,22.12,286.29,26.41,35.26,108.69,17.7,1.47,신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",하나증권주식회사,18000000,1288.0,1146.0
디바이스이엔지,187870,2017-12-20,83496361.0,57598720.0,1360000.0,70777194.0,6128714.0,4540486.0,22437047.0,222.41,6.96,19.17,9.98,31.02,12000,16800000,,1.07,77.86,140.01,122.59,20.62,38.71,314.17,181.65,249.30,6.42,119.42,54.54,215.28,19.99,4.8,1.09,신규상장,주권,특수 목적용 기계 제조업,한국투자증권(주),6782000,10447.0,11705.0
동양피스톤,92780,2017-12-08,231022456.0,171030514.0,4934230.0,259676794.0,13306678.0,10671440.0,-135194.0,285.09,4.91,19.57,8.46,25.97,5700,18810000,,4.93,13.26,18.63,15.03,22.29,1.4,9.72,7.14,19.88,4.11,65.27,3.8,211.56,4.41,11.29,1.19,신규상장,주권,자동차용 엔진 및 자동차 제조업,"대신증권(주),IBK투자증권(주)",13168460,5130.0,4845.0
진에어,272450,2017-12-08,302254655.0,224341072.0,27000000.0,719672711.0,52279036.0,39333141.0,69388703.0,287.94,15.55,60.86,8.62,25.78,31800,381600000,,0.76,48.51,31.92,32.06,51.74,56.01,76.21,91.05,73.25,5.47,116.02,95.04,237.95,16.97,1715.53,2.85,신규상장,주권,항공 여객 운송업,미래에셋증권 주식회사,30000000,28650.0,28850.0
씨티케이코스메틱스,260930,2017-12-07,74475038.0,38171640.0,519730.0,133888368.0,26705519.0,23325157.0,12559775.0,105.15,44.19,100.54,20.35,48.75,55000,110000000,,0.06,139.58,151.02,176.85,259.53,119.33,113.96,111.66,126.27,17.42,173.79,66.02,101.39,310.37,31.83,2.54,신규상장,주권,기타 화학제품 제조업,미래에셋증권 주식회사,10122151,25941.0,22168.0
메카로,241770,2017-12-06,46393563.0,22625854.0,3917320.0,48134322.0,3098844.0,2925743.0,-1316451.0,95.2,6.7,13.1,11.69,51.23,33000,66000000,,2.57,13.26,14.88,-18.69,13.76,36.77,-44.6,-24.2,-29.00,6.08,217.61,51.99,44.92,10.78,5.84,1.1,신규상장,주권,기타 화학제품 제조업,한국투자증권(주),9834640,43000.0,38500.0
에스트래픽,234300,2017-12-05,44382635.0,26753822.0,940000.0,88748386.0,9945824.0,8209416.0,10311292.0,151.76,24.38,58.08,11.32,39.72,10000,21300000,,0.0,93.33,106.81,104.02,65.69,44.1,52.82,52.4,82.74,9.25,170.4,67.3,126.6,11276.44,288.93,2.64,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",미래에셋증권 주식회사,11450592,13518.0,10139.0
체리부로,66360,2017-12-04,176669945.0,117131225.0,11767320.0,290877940.0,15917705.0,16030747.0,17560044.0,196.73,9.4,30.81,7.93,33.7,4700,28913916,,4.05,7.34,7.33,0.64,33.68,15.35,148.86,53.61,7006.58,5.51,56.12,4.1,153.25,4.0,16.97,1.7,신규상장,주권,"도축, 육류 가공 및 저장 처리업",미래에셋증권 주식회사,27872369,4359.0,3456.0
대원,7680,2017-12-01,368104611.0,162676533.0,5000000.0,226695965.0,17512814.0,36887603.0,39746213.0,79.19,10.41,20.11,7.93,55.81,15000,30000000,,1.56,8.17,54.88,140.11,27.24,-8.03,170.37,164.35,1273.53,16.27,174.39,48.54,65.94,23.15,2.92,0.64,신규상장,주권,건물 건설업,신한투자증권 주식회사,11050000,16000.0,13300.0
삼양패키징,272550,2017-11-29,491952903.0,273933404.0,71049020.0,310125365.0,40955175.0,24219880.0,52322245.0,125.65,4.96,11.76,21.55,44.32,26000,119481700,,3.38,1.38,37.76,47.47,12.44,67.69,162.35,119.16,178.45,7.81,122.1,24.06,33.69,4.21,23.06,0.63,신규상장,주권,플라스틱제품 제조업,한국투자증권(주),14209804,25750.0,23800.0
스튜디오드래곤,253450,2017-11-24,219915182.0,84509219.0,11018620.0,137052054.0,12843500.0,7754240.0,-9876233.0,62.41,0.0,0.0,24.57,61.57,35000,210000000,,0.83,,,,,,,,,5.66,74.38,1.13,47.31,15.84,,1.25,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",미래에셋증권 주식회사,28037240,55300.0,71800.0
테이팩스,55490,2017-10-31,95741578.0,86543043.0,3550000.0,112013881.0,11925685.0,8775369.0,15418883.0,940.84,8.44,25.89,14.25,9.61,23000,38180000,,3.84,-14.63,-33.71,-44.12,-84.3,-1.36,5.13,-1.06,-10.64,7.83,158.91,15.23,212.75,8.27,11.18,1.08,신규상장,주권,플라스틱제품 제조업,"신한투자증권 주식회사,KB증권(주)",4717650,26600.0,27000.0
영화테크,265560,2017-10-26,47528561.0,15630755.0,1479990.0,52170362.0,5755162.0,5291900.0,4782876.0,49.0,12.06,18.97,13.51,67.11,12500,8800000,,1.11,18.03,39.08,50.72,33.56,16.41,27.43,16.92,27.99,10.14,211.4,88.11,43.23,28.41,12.78,1.19,신규상장,주권,자동차 신품 부품 제조업,신한투자증권 주식회사,5345090,12500.0,16250.0
상신전자,263810,2017-10-16,36962460.0,18957613.0,320000.0,67474200.0,5851158.0,5088757.0,-1530716.0,105.29,15.75,29.89,9.19,48.71,13300,9310000,,1.49,33.66,55.88,56.07,12.25,6.45,12.88,12.95,41.09,7.54,157.34,42.94,89.05,26.14,9.74,2.09,신규상장,주권,전자부품 제조업,미래에셋증권 주식회사,3921000,4835.0,6276.0
야스,255440,2017-09-29,81082802.0,31898849.0,5655000.0,82981673.0,16055794.0,13063901.0,30789930.0,64.86,18.72,31.11,21.04,60.66,23500,54050000,,0.5,38.61,71.14,81.1,41.36,159.4,1052.43,485.11,1144.15,15.74,202.94,120.69,52.61,59.99,48.14,1.19,신규상장,주권,특수 목적용 기계 제조업,한국투자증권(주),12930000,21150.0,19100.0
에스엔피월드,263920,2017-09-28,15559457.0,4882212.0,883330.0,27164350.0,4730693.0,3855610.0,3399442.0,45.73,29.25,45.33,18.37,68.62,5100,10200000,,0.29,44.03,67.54,81.29,68.56,32.36,307.66,248.55,264.96,14.19,218.38,77.49,43.63,110.18,23.19,2.06,신규상장,주권,그외 기타 제품 제조업,대신증권(주),7876580,6500.0,5270.0
유티아이,179900,2017-09-27,48845917.0,30266236.0,2128982.0,38851684.0,12427835.0,13036883.0,13977891.0,162.9,29.74,108.41,46.45,38.04,25000,22400000,,0.79,25.78,173.75,259.71,239.52,154.61,-269.94,-906.6,흑전,33.56,91.09,57.29,118.4,20.55,12.87,0.89,신규상장,주권,전자부품 제조업,한국투자증권(주),5332145,7562.0,6268.0
신흥에스이씨,243840,2017-09-27,95098230.0,44000660.0,13021160.0,90111748.0,6487681.0,5551713.0,14932972.0,86.11,6.62,11.54,12.55,53.73,16000,33600000,,2.15,30.97,27.61,32.42,13.21,35.1,694.66,164.61,69.29,6.16,104.77,29.09,53.97,12.33,19.91,1.07,신규상장,주권,일차전지 및 이차전지 제조업,삼성증권(주),6551683,29400.0,20850.0
선익시스템,171090,2017-09-20,84245581.0,39929890.0,2500000.0,143709381.0,23387388.0,23612029.0,2613585.0,90.1,38.02,72.47,17.37,52.6,37000,55500000,,0.51,110.81,224.14,225.07,112.6,397.91,-572.82,-815.64,흑전,16.43,165.9,21.5,87.61,66.88,139.58,2.31,신규상장,주권,반도체 제조업,대신증권(주),6000000,22274.0,19899.0
엠플러스,259630,2017-09-20,38411100.0,27604708.0,2037195.0,28031364.0,4234514.0,3541906.0,3022240.0,255.45,14.03,90.72,16.57,28.13,18000,22500000,,1.02,217.85,558.18,572.65,-460.43,110.86,1170.89,549.71,흑전,12.64,118.67,33.37,231.94,5.64,3.11,1.11,신규상장,주권,특수 목적용 기계 제조업,키움증권(주),5111890,14292.0,11797.0
앱클론,174900,2017-09-18,16009899.0,4030825.0,3049418.0,3120330.0,-1605938.0,-1596675.0,-204923.0,33.65,-9.92,-12.63,-41.66,74.82,10000,6807410,,-1.54,-0.97,-0.99,-0.86,-9.98,60.18,-47.98,-54.03,적축,-51.17,896.57,832.77,11.67,-32.93,292.18,0.19,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,엔에이치투자증권(주),6800000,10000.0,13000.0
펄어비스,263750,2017-09-14,58487637.0,16267052.0,5133150.0,77696625.0,52706304.0,45586158.0,35504503.0,38.53,141.57,196.11,62.52,72.19,103000,185400000,,0.01,,,,,,,,,59.54,483.09,371.25,26.0,117.03,,0.97,신규상장,주권,소프트웨어 개발 및 공급업,한국투자증권(주),12066300,18540.0,19780.0
덕우전자,263600,2017-08-28,61052760.0,20925182.0,600000.0,76327511.0,15233837.0,10784956.0,23717648.0,52.15,20.43,31.16,24.32,65.73,15500,38750000,,0.0,37.12,24.76,25.67,37.91,-13.06,-8.51,-1.62,-3.56,14.13,119.23,83.0,49.43,448.54,28.53,1.45,신규상장,주권,전자부품 제조업,한국투자증권(주),8110066,8450.0,7925.0
이더블유케이,258610,2017-08-22,40209208.0,29957993.0,2427500.0,28569861.0,4425797.0,3223585.0,9799394.0,292.24,9.0,42.71,17.6,25.49,5000,11100000,,3.22,27.96,58.55,60.12,111.63,70.69,142.56,129.13,279.11,11.28,105.17,65.41,164.64,7.28,90.4,0.8,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",신영증권(주),6586600,10000.0,11950.0
알에스오토메이션,140670,2017-08-11,63496347.0,43440736.0,2846000.0,65938245.0,3005896.0,2958279.0,4439909.0,216.6,5.1,15.98,6.83,31.59,6000,14628000,,4.48,21.1,22.21,22.1,18.22,9.56,47.77,27.78,91.22,4.49,112.81,21.8,186.77,3.92,5.54,1.14,신규상장,주권,전자부품 제조업,미래에셋증권 주식회사,9103140,11950.0,15500.0
모트렉스,118990,2017-08-04,123960432.0,62517838.0,497070.0,200359446.0,16982106.0,15017533.0,9875250.0,101.75,13.19,28.05,10.49,49.57,38300,68940000,,1.36,19.42,22.88,31.44,34.67,30.71,-1136.02,3618.7,흑전,7.5,150.96,22.52,88.98,15.38,7.49,1.76,신규상장,주권,자동차 신품 부품 제조업,미래에셋증권 주식회사,5336109,12299.0,10810.0
데이타솔루션,263800,2017-08-03,39622635.0,21905657.0,6000290.0,100819750.0,3938704.0,3054257.0,2334673.0,123.64,9.92,22.51,5.16,44.71,3300,15180000,,2.09,80.54,76.0,69.97,88.19,86.45,648.39,648.16,367.85,3.03,148.16,76.09,110.47,19.2,23.21,3.27,신규상장,주권,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",미래에셋증권 주식회사,15358580,6600.0,5680.0
지니언스,263860,2017-08-02,27147396.0,7019153.0,625000.0,20614791.0,4208087.0,3657963.0,5510380.0,34.87,14.1,24.35,21.31,74.14,13500,11205000,,0.11,9.7,8.02,18.13,103.06,33.23,18.42,16.88,23.06,17.74,449.55,314.26,24.28,19.61,13.99,0.79,신규상장,주권,소프트웨어 개발 및 공급업,하나증권주식회사,4854900,10314.0,7819.0
디앤씨미디어,263720,2017-08-01,9632401.0,2863528.0,102600.0,18893266.0,3693827.0,3011991.0,2633082.0,42.3,38.06,57.8,19.59,70.27,20000,20140000,,0.0,55.43,53.47,55.19,85.29,31.52,40.72,40.56,41.88,15.94,340.74,218.31,40.06,944.23,71.0,2.39,신규상장,주권,"서적, 잡지 및 기타 인쇄물 출판업",키움증권(주),4034223,10831.0,9154.0
힘스,238490,2017-07-20,48476491.0,26178060.0,2072000.0,50875860.0,6575532.0,4951082.0,6109585.0,117.4,13.55,28.64,14.7,46.0,20000,16000000,,0.57,96.87,324.65,390.65,81.71,104.71,-688.11,-3160.9,흑전,9.73,147.97,31.13,90.67,14.91,7.28,1.39,신규상장,주권,특수 목적용 기계 제조업,"KB증권(주),SK증권(주)",4968000,16279.0,16530.0
브이원텍,251630,2017-07-13,31478183.0,7554848.0,2924110.0,23669587.0,8834829.0,7760304.0,6205396.0,31.58,32.5,42.82,37.48,76.0,17700,32373300,,0.12,93.45,111.08,133.23,94.18,112.95,272.34,268.36,236.58,32.79,366.09,226.13,29.59,723.45,8.24,0.99,신규상장,주권,특수 목적용 기계 제조업,미래에셋증권 주식회사,7366090,10050.0,9450.0
아우딘퓨쳐스,227610,2017-07-12,32207637.0,9001555.0,2450000.0,56780137.0,9608322.0,9122506.0,3538205.0,38.79,32.52,48.97,18.12,72.05,26000,26000000,,0.45,34.83,39.16,18.19,65.13,126.22,366.24,305.33,426.27,16.07,227.02,86.22,37.18,79.06,19.9,2.02,신규상장,주권,기타 화학제품 제조업,하나증권주식회사,5925190,6935.0,6906.0
제일홀딩스,3380,2017-06-30,1121896515.0,654814790.0,5033700.0,3683203.0,-1310533.0,2684123.0,-27443325.0,140.19,0.23,0.61,-35.5,41.63,20700,421886700,,-491.49,-8.03,18.09,18.21,11.72,7.84,-82.64,-82.67,흑전,72.87,1.06,0.58,138.18,-0.05,1261.15,0.0,신규상장,주권,회사 본부 및 경영 컨설팅 서비스업,"신한투자증권 주식회사,KB증권(주)",70718000,18650.0,19050.0
보라티알,250000,2017-06-08,27087718.0,11659765.0,2506201.0,38351961.0,8500275.0,7406093.0,8739489.0,75.58,27.44,70.21,22.84,56.96,14300,24134110,,0.7,0.75,8.53,6.06,172.2,450.79,392.86,391.73,608.52,19.31,250.57,38.33,43.9,27.52,4.83,1.42,신규상장,주권,음·식료품 및 담배 도매업,대신증권(주),6750733,18900.0,17600.0
삼양옵틱스,225190,2017-06-02,42664886.0,8369690.0,5000000.0,62780096.0,19609548.0,16000892.0,20483688.0,24.4,41.72,51.43,34.24,80.38,16700,66800000,,0.0,25.31,23.37,31.15,22.8,9.72,9.42,10.45,19.24,25.49,339.97,159.58,21.74,9284.82,9.59,1.64,신규상장,주권,사진장비 및 광학기기 제조업,미래에셋증권 주식회사,10000000,16700.0,16800.0
필옵틱스,161580,2017-06-01,114156167.0,83270304.0,2307600.0,177220432.0,15970009.0,14820020.0,14546820.0,269.61,18.46,63.75,10.51,27.06,48000,55680000,,1.69,146.21,536.45,592.6,97.84,207.56,-320.08,-493.56,흑전,8.36,106.32,26.99,223.29,18.03,61.4,2.21,신규상장,주권,특수 목적용 기계 제조업,신한투자증권 주식회사,5775200,16414.0,19070.0
넷마블게임즈,251270,2017-05-12,1742067946.0,376407305.0,6777639.0,1073084080.0,101001615.0,23570814.0,53465916.0,27.56,1.6,1.99,11.26,78.39,157000,2661717084,,0.8,44.36,81.57,81.29,35.8,22.13,29.93,28.36,-61.23,2.2,99.6,29.24,26.15,73.16,3942.14,0.73,신규상장,주권,소프트웨어 개발 및 공급업,"엔에이치투자증권(주),제이피모간증권회사 서울지점",84730000,165000.0,162000.0
하나머티리얼즈,166090,2017-04-28,67419954.0,35478427.0,3631768.0,52713003.0,9914597.0,7607747.0,11404121.0,111.07,13.37,29.22,27.99,47.38,12000,23280000,,1.71,45.32,42.46,98.33,58.71,66.47,154.94,84.33,409.80,14.43,82.37,10.3,80.8,8.68,4.67,0.93,신규상장,주권,반도체 제조업,"대신증권(주),엔에이치투자증권(주)",9459737,8750.0,7975.0
와이엠티,251370,2017-04-27,53799395.0,33960768.0,1142850.0,31838853.0,4670036.0,4311417.0,3473350.0,171.19,8.44,24.45,18.87,36.88,21000,11815167,,3.26,11.22,20.93,25.25,28.57,42.69,102.55,79.78,123.86,13.54,116.28,30.37,97.91,3.7,10.11,0.62,신규상장,주권,기초 화학물질 제조업,하나증권주식회사,3602600,17550.0,15525.0
