회사명,종목코드,상장일,총자산(요약재무),부채(요약재무),자본금(요약재무),매출액(영업수익),영업이익,당기순이익(포괄손익계산서),영업활동으로인한현금흐름,부채비율(표준재무),ROA(표준재무),ROE(표준재무),EBITDA마진율(표준재무),자기자본비율(표준재무),공모가 (원),공모금액 (천원),Unnamed: 17,총차입금/EBITDA(표준재무),총자산증가율(표준재무),유동자산증가율(표준재무),당좌자산증가율(표준재무),자기자본증가율(표준재무),매출액(영업수익)증가율(표준재무),영업이익증가율(보고서기재)(표준재무),EBITDA증가율(표준재무),순이익증가율(표준재무),순이익률(표준재무),유동비율(표준재무),현금비율(표준재무),유동부채비율(표준재무),이자보상배율(표준재무),재고자산회전율(표준재무),총자산회전율(표준재무),상장유형,증권구분,업종,상장주선인/,최초상장주식수 (주),상장일 시초가,상장일 종가
뉴로핏,380550,2025-07-25,9860249.0,61057246.0,3691077.0,2216206.0,-14648714.0,-15101403.0,-12612907.0,-119.26,-91.53,34.38,-611.58,-519.23,14000,28000000,,-0.1,-57.38,-64.76,-65.1,39.7,41.86,24.52,26.22,적전,-681.41,11.52,10.07,-116.76,-4.05,41.05,0.13,신규상장,주권,소프트웨어 개발 및 공급업,미래에셋증권 주식회사,11476035,28600.0,20300.0
도우인시스,484120,2025-07-23,193009356.0,55536690.0,4662886.0,67001428.0,11277004.0,20709905.0,12666895.0,40.4,12.27,22.5,26.81,71.23,32000,44800000,,2.65,33.53,63.33,71.84,194.66,-21.87,-42.12,-29.73,83.52,30.91,63.06,39.63,33.16,4.21,31.13,0.4,신규상장,주권,전자부품 제조업,키움증권(주),10757022,54400.0,44350.0
아우토크립트,331740,2025-07-15,56668199.0,46550610.0,4063836.0,23049895.0,-17187937.0,-47904222.0,-11273696.0,460.1,-86.49,161.99,-57.77,17.85,22000,30800000,,-2.63,4.74,-14.21,-22.94,-114.61,8.14,-13.03,-22.2,적확,-207.83,55.35,20.95,311.46,-3.59,15574.25,0.42,신규상장,주권,소프트웨어 개발 및 공급업,대신증권(주),9569672,31750.0,30850.0
싸이닉솔루션,234030,2025-07-07,40422140.0,22344615.0,2016665.0,162573090.0,5099437.0,5548499.0,4240506.0,123.6,14.42,37.1,3.35,44.72,4700,16450000,,2.6,10.63,,,,23.13,14.27,12.4,523.65,3.41,187.34,104.21,98.22,10.05,221.58,4.22,신규상장,주권,반도체 제조업,대신증권(주),23605000,10080.0,7960.0
뉴엔AI,463020,2025-07-04,29916957.0,8691405.0,3304240.0,19716215.0,429017.0,-5619561.0,55575.0,40.95,-18.73,-35.79,5.59,70.95,15000,33300000,,5.26,-0.6,-1.96,-4.71,108.57,10.27,-70.93,-44.49,적전,-28.5,253.66,209.84,36.3,1.46,,0.66,신규상장,주권,소프트웨어 개발 및 공급업,엔에이치투자증권(주),8879200,36900.0,38400.0
지씨지놈,340450,2025-06-11,40622478.0,7542609.0,9777778.0,25887799.0,-1233501.0,-1256914.0,377992.0,22.8,0.0,0.0,7.67,81.43,10500,42000000,,2.35,-5.13,-6.1,-7.12,32.07,-5.15,-870.57,-46.34,적확,-4.86,427.05,204.02,9.67,-1.29,21.84,0.62,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",삼성증권(주),23650793,14300.0,11100.0
링크솔루션,474650,2025-06-10,35643884.0,13439604.0,465203.0,11187805.0,-3996265.0,-2547629.0,-5757099.0,60.53,0.0,0.0,-19.44,62.29,23000,20700000,,-5.07,106.99,98.15,90.46,-225.71,52.0,-602.59,-245.7,적축,-22.77,178.6,113.42,55.32,-3.28,8.86,0.42,신규상장,주권,특수 목적용 기계 제조업,신영증권(주),5579032,30000.0,26250.0
키스트론,475430,2025-06-02,179890294.0,27974532.0,6629555.0,68954759.0,5900745.0,8777259.0,6484169.0,18.41,0.0,0.0,14.07,84.45,3600,22680000,,0.86,-5.9,34.33,47.06,-5.18,22.6,47.23,28.58,87.32,12.73,367.1,126.72,8.53,12.94,3.8,0.37,신규상장,주권,절연선 및 케이블 제조업,신한투자증권 주식회사,17848110,10670.0,9660.0
인투셀,287840,2025-05-23,23711335.0,16189835.0,6642047.0,2905033.0,-9790201.0,-9912847.0,-7045715.0,215.25,0.0,0.0,-313.44,31.72,17000,25500000,,-1.1,-8.6,-22.45,9.39,-43.14,79.72,-43.7,-44.97,적축,-341.23,99.91,90.35,179.59,-31.11,,0.12,신규상장,주권,자연과학 및 공학 연구개발업,미래에셋증권 주식회사,14829094,37100.0,33200.0
달바글로벌,483650,2025-05-22,139142581.0,32604925.0,1146566.0,303018754.0,62808037.0,18637127.0,15999854.0,30.6,0.0,0.0,20.96,76.57,66300,43360200,,0.04,78.87,83.02,54.01,574.15,51.48,90.84,90.52,33.84,6.15,440.41,182.67,28.05,80.17,9.72,2.79,신규상장,주권,기타 화학제품 제조업,미래에셋증권 주식회사,12069665,118000.0,110100.0
바이오비쥬,489460,2025-05-20,37793892.0,6839035.0,5977215.0,29641369.0,9234675.0,7195877.0,558396.0,22.09,0.0,0.0,33.52,81.9,9100,27300000,,0.24,35.32,45.25,299.42,169.03,73.03,78.8,72.72,117.39,24.28,458.47,124.52,21.77,20.79,5.67,0.9,신규상장,주권,기타 화학제품 제조업,대신증권(주),15044430,23000.0,18380.0
이뮨온시아,424870,2025-05-19,26194830.0,6770838.0,36365047.0,654539.0,-12598557.0,-5687000.0,-14663368.0,34.86,0.0,0.0,-1764.21,74.15,3600,32905735,,-0.01,-22.49,-25.43,-25.43,-156.81,495.04,6.79,7.25,적전,-868.86,305.93,174.45,33.43,-1819.29,,0.02,신규상장,주권,자연과학 및 공학 연구개발업,한국투자증권(주),73004309,5600.0,7500.0
로킷헬스케어,376900,2025-05-12,9244348.0,87977570.0,4031324.0,6829188.0,-6498090.0,-8219143.0,-5080337.0,-111.74,0.0,0.0,-83.45,-851.69,11000,17160000,,-2.64,19.4,38.88,51.09,-0.64,7.02,-21.91,-21.06,적전,-120.35,8.42,4.48,-108.14,-0.95,5.4,0.8,신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,SK증권(주),9669449,16860.0,14750.0
원일티엔아이,136150,2025-05-09,72985037.0,36865546.0,3672515.0,42188062.0,6379520.0,7870548.0,-3841312.0,102.07,0.0,0.0,17.79,49.49,13500,16200000,,2.13,17.93,52.96,21.36,27.84,0.74,122.86,87.03,334.88,18.66,120.11,11.89,97.21,11.0,9.59,0.63,신규상장,주권,일반 목적용 기계 제조업,엔에이치투자증권(주),8381030,23600.0,35900.0
오가노이드사이언스,476040,2025-05-09,27236451.0,10539193.0,2634975.0,1952346.0,-10585773.0,-10252810.0,-7519176.0,63.12,0.0,0.0,-480.26,61.3,21000,25200000,,-0.86,-17.33,-26.1,-66.2,-121.72,20.09,14.09,14.98,적축,-525.15,326.29,115.41,29.89,-3.32,,0.06,신규상장,주권,자연과학 및 공학 연구개발업,한국투자증권(주),6505950,25400.0,32000.0
나우로보틱스,459510,2025-05-08,16316926.0,10544444.0,4986975.0,12059592.0,-2856450.0,-3681031.0,-3974061.0,182.67,0.0,0.0,-20.97,35.38,6800,17000000,,-2.62,44.03,99.27,252.22,-280.9,15.89,-47.8,-51.28,적축,-30.52,166.92,58.61,97.03,-5.51,9.43,0.87,신규상장,주권,특수 목적용 기계 제조업,"대신증권(주),iM증권",12547732,17000.0,15400.0
쎄크,81180,2025-04-28,74055656.0,86991154.0,2137500.0,50375110.0,605129.0,-6908388.0,-6782892.0,-672.5,-9.55,74.09,5.08,-17.47,15000,18000000,,15.49,4.92,8.16,-35.63,126.4,24.05,-112.39,-179.33,적축,-13.71,65.74,8.79,-545.12,0.16,1.89,0.7,신규상장,주권,일반 목적용 기계 제조업,신영증권(주),8725535,20200.0,13680.0
에이유브랜즈,481070,2025-04-03,24552342.0,4894327.0,62500.0,38713917.0,15172183.0,12376966.0,14274435.0,24.9,70.49,91.89,40.73,80.07,16000,32000000,,0.02,132.36,144.56,154.21,169.99,120.53,145.5,144.96,168.77,31.97,465.67,286.23,24.74,362.92,13.08,2.2,신규상장,주권,"섬유, 의복, 신발 및 가죽제품 소매업",한국투자증권(주),14160000,28000.0,18050.0
더즌,462860,2025-03-24,95243381.0,64811679.0,2045011.0,42119818.0,10736144.0,11364398.0,16914994.0,212.97,13.62,46.61,29.86,31.95,9000,22500000,,0.33,33.06,23.42,23.4,65.99,42.34,25.15,27.67,38.56,26.98,122.44,104.53,201.39,107.99,6746.73,0.5,신규상장,주권,전기 통신업,한국투자증권(주),23561578,3094.0,2696.0
